id_wycieczki,nazwa,opis,data_wyjazdu,data_powrotu,liczba_osob,cena,miasta_id_miasta
1,Weekend w Warszawie,Relaksująca wycieczka po stolicy Polski,2025-03-01,2025-03-04,20,1000.00,1
2,Zimowa przygoda w Krakowie,Zwiedzanie Krakowa w zimowej scenerii,2025-02-15,2025-02-19,15,1200.00,2
3,Nadmorska relaksacja w Gdańsku,Wypoczynek nad Bałtykiem - 5 dni pełne relaksu,2025-05-20,2025-05-25,10,1500.00,3
4,Podróż do Wrocławia,Zwiedzanie historycznego Wrocławia,2025-04-10,2025-04-13,25,1100.00,4
5,Przygoda w Poznaniu,Weekendowa wycieczka po starym Poznaniu,2025-06-01,2025-06-03,30,950.00,5
6,Zwiedzanie Szczecina,Podróż po Pomorzu Zachodnim,2025-07-05,2025-07-08,18,800.00,6
7,Monachium - Wypoczynek i historia,Relaks w stolicy Bawarii,2025-08-01,2025-08-06,12,2000.00,7
8,Podróż do Frankfurtu,Miasto finansów i kultury,2025-09-01,2025-09-05,25,1500.00,8
9,Hamburg i jego porty,Przygoda w niemieckim porcie,2025-07-15,2025-07-21,20,1300.00,9
10,Stuttgart - Wypoczynek w mieście,Wypoczynek w niemieckim mieście pełnym atrakcji,2025-06-25,2025-06-29,10,1200.00,10
11,Kolonia - Miasto katedr,Wycieczka do Kolonii z wizytą w słynnej katedrze,2025-03-15,2025-03-17,22,1100.00,11
12,Historyczne Norymberga,Zwiedzanie miasta pełnego historii,2025-05-15,2025-05-18,15,1150.00,12
13,Sztokholm - Miasto wysp,Relaks w stolicy Szwecji,2025-06-10,2025-06-15,18,1800.00,13
14,Malmö - Wypoczynek nad morzem,Słoneczne dni w Szwecji nad Bałtykiem,2025-07-05,2025-07-08,14,1400.00,14
15,Przygoda w Göteborgu,Podróż do drugiego największego miasta w Szwecji,2025-08-20,2025-08-24,20,1600.00,15
16,Oslo - Stolica Norwegii,Wycieczka do Oslo z wizytą w muzeach i fiordach,2025-04-05,2025-04-08,12,1700.00,16
17,Helesinki - Wypoczynek w fińskim stylu,Wyprawa po stolicy Finlandii,2025-09-15,2025-09-19,10,1500.00,17
18,Tampere - Miasto jezior,Podróż do stolicy fińskich jezior,2025-10-01,2025-10-04,16,1400.00,18
19,Espoo - Natura i nowoczesność,Wypoczynek w szwedzko-fińskim klimacie,2025-06-10,2025-06-12,14,1300.00,19
